pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
41414773,"49.46 (9.52) years (interventional group), 49.09 (8.10) years (control group)",Women,"adult patients with locally advanced, non-metastatic breast cancer (stage I-III)","no history of peripheral neuropathy, normal SNAP or CMAP at baseline nerve conduction studies, no severe ischemic heart disease, congestive cardiac failure, acute myocardial infarction within the past 3 months, COPD or asthma exacerbations; no moderate to severe alcohol use disorder; willing to provide consent",70 patients were randomized,35,35,paclitaxel,,"exercise intervention targeting sensory activation, motor control and coordination, strength and endurance, balance training, and functional reintegration programs; intensity based on RPE rating scale ranging 3 to 5 (moderate); chemotherapy-periodized approach",,,,usual care,,,"balance scores, taxane-induced toxicity-related quality-of-life scores, emotional functioning, physical functioning, and functional impairments","hemoglobin levels (P = .048) higher in interventional group, serum albumin levels (P = .027) higher in interventional group, amplitude of ulnar nerve (estimate: 1.98, P = .007), amplitude of CPN (estimate: 1.88, P = .003), amplitude of sural nerve (estimate: 6.20, P < .001), velocity of common peroneal nerve (estimate: 1.93, P = .045), velocity of sural nerve (estimate: 3.70, P = .008), amplitude of common peroneal nerve remained significantly higher in intervention group (estimate: 3.31, P < .001)","participant flow diagram depicted in Figure 1, baseline characteristics detailed in Table 1",,,,,,,,,,,,,,,,
41413016,18-75 years,"pre-, peri- or postmenopausal women; pre- or perimenopausal women received a gonadotropin-releasing hormone agonist for continuous ovarian function suppression throughout the study","HR-positive, HER2-negative, locally recurrent or metastatic breast cancer; bone metastasis (65.2%); not amenable to curative resection or radiotherapy, or clinically not indicated for chemotherapy","patients with HR-positive, HER2-negative, locally recurrent or metastatic breast cancer and bone metastasis; measurable lesion according to RECIST 1.1 or bone only metastasis including lytic or mixed lytic-blastic lesions; sensitive to prior endocrine therapy if relapse after 24 months of adjuvant endocrine therapy or had a relapse after 6 months of first line endocrine therapy; no visceral metastasis; ECOG performance status 0 or 1; adequate bone marrow and organ function; LVEF ?50%; no more than one line of endocrine therapy or chemotherapy for recurrent or metastatic disease; adjuvant endocrine therapy lasting at least one year; relapse or progression during or within 12 months after the end of adjuvant endocrine therapy without subsequent endocrine therapy, or progression after rescue endocrine therapy after an initial diagnosis of locally advanced or metastatic disease or >12 months after the end of adjuvant endocrine therapy; radiologically confirmed relapse or disease progression; no central nervous system metastasis, carcinomatous meningitis or leptomeningeal disease",293,194,99,"culmerciclib (180 mg, orally, once daily [QD] for a 4-week cycle) plus fulvestrant (500 mg, administered as an intramuscular injection, on day 1 and 15 of cycle 1 and day 1 of subsequent cycles)",,,,,,placebo,,"98.5% (culmerciclib) vs 87.9% (placebo), Grade ?3: 57.7% (culmerciclib) vs 12.1% (placebo), dose interruptions: 53.1% (culmerciclib) vs 13.1% (placebo), dose reductions: 34.0% (culmerciclib) vs 1.0% (placebo)",,,,,,,,,,,,,,,,,,,
41411643,<60 years,female,clinical stage 1 gastric cancer,"(1) age ?19 years, (2) diagnosis of clinical stage 1 gastric cancer based on preoperative esophagogastroduodenoscopy and computed tomography, (3) being scheduled for distal or total gastrectomy, (4) ability to access a mobile app via a smartphone or residence with a caregiver who can access the mobile app, and (5) cognitive capability to communicate with an assigned coach.",180 patients were enrolled,89,91,,distal or total gastrectomy,exercise tracking and pedometer function through mobile app,mobile coaching via Noom Coach app,conventional counseling,face-to-face consultations with a hospital-based dietitian,conventional counseling,,complication rate,global health status,"no significant differences in mean age, sex, mean BMI, comorbidity, pathological stage, operation type, and duration of hospital stay",functional and symptom scales,,,,,,,,,,,,,,,,
41410532,18 years and above,male/female/mixed,"patients with non-small cell lung cancer (NSCLC), clinical stage I to III, single-station, non-bulky N2 disease","(1) confirmed or suspected NSCLC; (2) age >18 years; (3) preoperative staging including chest X-ray, computed tomography, positron-emission tomography-computed tomography, bronchoscopy, and EBUS; (4) appropriate general fitness according to the European Respiratory Society and the ESTS guidelines. The exclusion criteria were: (1) history of other malignancies, except for non-melanoma skin cancer; (2) neoadjuvant therapy; (3) pathological confirmation of tumour other than NSCLC.",279,135,144,,bilateral mediastinal lymphadenectomy (BML),,,,sentinel lymph node dissection (SLND),SLND,,risks of adverse effects (AE),chest drainage duration, air leak duration,invvasiveness of lung resection, duration of surgery, blood loss,pain intensity on each of the 5 postoperative days,,,,,,,,,,,,,
41409261,35-55 years,female,breast cancer patients,"(1) elective breast cancer surgery, including mastectomy, breast-conserving surgery, or reconstructive procedures; (2) American Society of Anesthesiologists (ASA) physical status I-II; (3) no use of CNS-affecting medications or history of substance abuse; and (4) no history of chronic sleep disorders within the preceding 30 days. Exclusion criteria: (1) severe cardiovascular, hepatic or renal dysfunction; (2) known allergy to esketamine; (3) pregnancy or lactation; (4) history of major surgery within the preceding 6 months; (5) unwillingness to provide informed consent or inability to comply with study procedures; and (6) any conditions deemed inappropriate for study participation by the investigator.",145,58,58,"intravenous esketamine (0.2 mg/kg induction, 0.4 mg/kg/h maintenance)",elective breast cancer surgery,,,,"total intravenous anesthesia (TIVA) with sufentanil (0.3 ?g/kg), propofol (1-1.5 mg/kg), rocuronium (0.6-0.9 mg/kg), remifentanil (0.05-0.2 ?g/kg/min), and adjunctive esketamine","standard anesthesia consisting of induction with sufentanil (0.3 ?g/kg), propofol (1-1.5 mg/kg), and rocuronium (0.6-0.9 mg/kg), followed by maintenance with propofol (4-12 mg/kg/h) and remifentanil (0.05-0.2 ?g/kg/min",postoperative sleep disturbance (POSD) incidence at 24 hours assessed by the Pittsburgh Sleep Quality Index (PSQI),"vomiting, agitation, other adverse reactions",,"heart rate, blood pressure, oxygen saturation",,,,,,,,,,,,,,,,,
41406937,,female,metastatic triple negative breast cancer (mTNBC),"Stage 1: patients with mTNBC who received nivolumab after a 2-week induction phase with low-dose chemotherapy, irradiation, or as monotherapy; Stage 2: additional patients with mTNBC","87 patients (70 in stage 1, 47 in stage 2)",113 patients received at least one cycle of nivolumab,19 patients,nivolumab,,,,,"low-dose chemotherapy (cyclophosphamide, cisplatin, or doxorubicin), irradiation",nivolumab,,,,"decrease in CPA scores upon ICB at week 6 (difference in medians [?] = -2.77, p = 0.0006)","cfDNA levels showed an increasing trend among non-responders (? = 4.62, p = 0.11); fold changes in cfDNA levels (week 6/baseline) were not significantly associated with OS (HR = 0.99, 95%CI = 0.63–1.57, p = 0.98), PFS (HR = 0.93, 95%CI = 0.60–1.43, p = 0.74), baseline sTIL levels, or PD-L1 CPS",,,,,,,,,,,,,,,,
41406506,not specified,biological variable,"patients with unresectable, liver-limited colorectal cancer (CRC)","participation in phase III randomised CAIRO5 trial (NCT02162563), at least one blood draw before and after treatment initiation, quantification of tumour viral load (TVL) before and after treatment initiation",101,97,4,FOLFOX/FOLFIRI plus bevacizumab,liver procedure,,,,cfDNA sequencing,CAIRO5 trial,42,19,,OS (Overall Survival),"Uno's C-statistic: 0.78 vs 0.73; difference, 0.05 [0.01-0.10]; P = 0.036; bootstrap test",,,,,,,,,,,,,,,,
41404555,?18 years,Women,Breast cancer,"Female breast cancer patients hospitalized at the study site, aged 18 or above, clinically stable with expected survival >6 months, and able to communicate effectively. Exclusion criteria: (i) metastatic cancer or comorbid malignancies; (ii) diagnosed psychiatric disorders or recent major psychological trauma; (iii) GHQ-12 screening score above threshold.",244 breast cancer patients,244,244,,,,PBL-KAP-AI model,,conventional health education intervention,traditional face-to-face lectures and manual content without dynamic personalized feedback,,,"quality of life (SF-36), improved","health behaviors (HPLP-II) - pre-intervention score: 42.14 ± 7.64, post-intervention score: 128.69 ± 15.89; control group pre-intervention score: 42.75 ± 4.93, post-intervention score: 107.65 ± 16.24",,,,,,,,,,,,,,,,,
41402322,?18 years,male,metastatic hormone sensitive prostate cancer (mHSPC),"adult patients with histologically or cytologically confirmed mHSPC, ECOG performance-status score of 0 or 1, evidence of metastases on bone scans or cross-sectional imaging, randomly assigned to and treated with ADT with or without docetaxel plus ARPI",1718,"ARASENS (darolutamide), LATITUDE (abiraterone), TITAN (apalutamide)",ENZAMET (enzalutamide),docetaxel,,,,,,ARPI arm of ENZAMET trial (NCT02446405),"4-year OS estimates: lower tertile - with docetaxel (55%, 95% CI = 48-63), without docetaxel (53%, 95% CI = 46-61); upper to middle tertiles - with docetaxel (66%, 95% CI = 60-72), without docetaxel (72%, 95% CI = 68-77); external validation cohort - HR for interaction term 0.28; two-sided p-interaction=0.03377",,,early favorable PSA response,AUC of the NADIR model was 0.77 (95% CI = 0.75–0.79) with a Brier score of 0.24, random forest classifier model had an AUC and Brier score similar to the logistic regression model in both internal and external validation cohorts,,,,,,,,,,,,,,,
41401771,26-75 years,,HER2-positive early or locally advanced breast cancer,"histologically confirmed primary breast cancer (tumor diameter >2 cm or lymph node-positive lesions); HER2 positive; clinical stage II-IIIC by AJCC Breast Cancer Staging; ECOG performance status 0-1; ER/PgR negative; no stage IV metastatic breast cancer, bilateral invasive breast cancer, prior antitumor therapy, other malignant tumors within 3 years, heart failure or systolic dysfunction, grade ?2 myocardial ischemia or arrhythmia, angina pectoris requiring anti-angina medication, clinically significant valvular heart disease, or myocardial infarction grade >1",412 patients,207,202,"TQB2440 (840 mg on day 1 of cycle 1, followed by 420 mg on cycles 2-4) plus trastuzumab (8 mg/kg on day 1 of cycle 1, followed by 6 mg/kg on cycles 2-4) and docetaxel (75 mg/m2)",surgery within 4 weeks after the completion of neoadjuvant therapy,,,,"FEC chemotherapy (fluorouracil 600 mg/m2, epirubicin 90 mg/m2, and cyclophosphamide 600 mg/m2) for cycles 5-7","reference pertuzumab (840 mg on day 1 of cycle 1, followed by 420 mg on cycles 2-4)",,"positive anti-drug antibodies (ADA) results for four (2.0%) and three (1.5%) patients in the TQB2440 and reference pertuzumab groups, respectively","breast-conserving surgery (BCS) rate, objective response rate (ORR), event-free survival (EFS), disease-free survival (DFS)","total pathological complete response (tpCR) by an independent review committee (IRC), left ventricular ejection fraction (LVEF), breast pathological complete response (bpCR) by IRC, tpCR/bpCR by the investigator","breast-conserving surgery (BCS) rate, objective response rate (ORR), event-free survival (EFS), disease-free survival (DFS), median drug exposure of TQB2440 and reference pertuzumab was four cycles during the neoadjuvant setting, median cumulative dose and median relative dose intensity were consistent in the two groups",,,,,,,,,,,,,,,,
